OBJECTID,UTILITY_ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REGULATED,CNTRL_AREA,PLAN_AREA,HOLDING_CO,SUMMR_PEAK,WINTR_PEAK,SUMMER_CAP,WINTER_CAP,NET_GEN,PURCHASED,NET_EX,RETAIL_MWH,WSALE_MWH,TOTAL_MWH,TRANS_MWH,CUSTOMERS,YEAR,SHAPE__Area,SHAPE__Length
1001,14203,CITY OF OSAWATOMIE - (KS),700 WALNUT AVENUE,OSAWATOMIE,KS,66064,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF OSAWATOMIE - (KS),8.5,6.8,11.6,11.6,171,33833,0,27389,-999999,34004,0,2082,2017,9810024.219,25721.0983
1002,10559,CITY OF LA CROSSE - (KS),P O BOX  339,LACROSSE,KS,67548,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF LA CROSSE - (KS),-999999,-999999,4.6,4.6,-999999,-999999,-999999,10923,-999999,-999999,-999999,890,2017,9537604.48,12653.08017
1003,3710,CITY OF CLAY CENTER - (KS),427 COURT ST,CLAY CENTER,KS,67432,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF CLAY CENTER - (KS),17.3,8.6,29.7,29.7,144,49877,0,44148,-999999,50021,0,2764,2017,9399763.738,24613.19839
1004,16440,CITY OF RUSSELL - (KS),P O BOX 112,RUSSELL,KS,67665,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF RUSSELL - (KS),24.9,17.6,26.4,30.2,235,119925,0,106623,163,120160,0,3385,2017,8838890.301,23456.00776
1005,1148,CITY OF BALDWIN CITY- (KS),P O BOX 86,BALDWIN CITY,KS,66006,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF BALDWIN CITY- (KS),9,5.5,8.9,8.9,223,33717,0,30691,-999999,33940,0,1982,2017,8778267.707,19818.11686
1006,6965,CITY OF GARNETT - (KS),P O BOX  H,GARNETT,KS,66032,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF GARNETT - (KS),8.7,2,10.2,10.2,23,32469,0,25604,-999999,29765,0,1822,2017,8393019.762,22912.96089
1007,20069,CITY OF WAMEGO - (KS),P O BOX 86,WAMEGO,KS,66547,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF WAMEGO - (KS),13.8,7.6,14.5,15.2,-676,50501,0,45089,0,49825,0,2358,2017,8319217.297,22131.1425
1008,14199,CITY OF OSAGE CITY - (KS),5TH AND MAIN,OSAGE CITY,KS,66523,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF OSAGE CITY - (KS),8.3,6,11.5,11.5,-1023,34366,0,31285,-999999,33343,0,1560,2017,7892514.004,23651.69277
1009,10321,CITY OF KINGMAN - (KS),332 N MAIN,KINGMAN,KS,67068,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF KINGMAN - (KS),11.5,6.8,18,18.2,3182,43767,0,38825,-999999,43190,0,1975,2017,7674824.23,32840.82561
1010,1525,CITY OF BELOIT - (KS),P O BOX 567,BELOIT,KS,67420,NOT AVAILABLE,MUNICIPAL,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2018-10-12T00:00:00.000Z,OTHER,2018-10-12T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF BELOIT - (KS),12.9,7.6,16.8,16.8,151,47825,0,41992,-999999,47976,0,2317,2017,7835486.855,17268.10768
