cwns_id,lat,lon,huc8,watershed,flow_mun_MGD,flow_ind_MGD,pop,flow_interpolated,discharge_method
6004010001,33.9308,-118.4349,18070104,Santa Monica Bay,325,NA,3900969,FALSE,Ocean Discharge
6004010005,33.9912,-118.2211,18070105,Los Angeles,479.3373677821673,NA,3825297,TRUE,Discharge To Another Facility
6008022002,33.692,-117.939,18070201,Seal Beach,151,NA,3483765,FALSE,Ocean Discharge
6004009001,33.8044,-118.2839,18070104,Santa Monica Bay,280,59,3200120,FALSE,Ocean Discharge
6004009016,34.0322,-118.0208,18070106,San Gabriel,400.99817017791537,NA,3200120,TRUE,Discharge To Another Facility
6005009001,38.4485,-121.4617,18020163,Cache Slough-Sacramento River,155,10,2809116,FALSE,Reuse: Irrigation
6005009001,38.4485,-121.4617,18020163,Cache Slough-Sacramento River,155,10,2809116,FALSE,Outfall To Surface Waters
6005009001,38.4485,-121.4617,18020163,Cache Slough-Sacramento River,155,10,2809116,FALSE,Reuse: Groundwater Recharge
26000596001,42.2832,-83.1285,4090004,Detroit,519.5,141,2357666,FALSE,Outfall To Surface Waters
17000721001,41.8139,-87.7704,7120004,Des Plaines,812,NA,2238754,FALSE,Outfall To Surface Waters
11000001001,38.8209,-77.0179,2070010,Middle Potomac-Anacostia-Occoquan,370,NA,2177897,FALSE,Outfall To Surface Waters
11000001001,38.8209,-77.0179,2070010,Middle Potomac-Anacostia-Occoquan,370,NA,2177897,FALSE,CSO Discharge
6009031001,32.6667,-117.2434,18070304,San Diego,166,18,2066532,FALSE,Ocean Discharge
6009031001,32.6667,-117.2434,18070304,San Diego,166,18,2066532,FALSE,Reuse: Indirect Potable
42005016001,40.4745,-80.0408,5030101,Upper Ohio,150.31,13.69,1835470,FALSE,Outfall To Surface Waters
4001318001,33.4267,-112.1064,15060106,Lower Salt,140,NA,1748948,FALSE,Reuse: Industrial
4001318001,33.4267,-112.1064,15060106,Lower Salt,140,NA,1748948,FALSE,Outfall To Surface Waters
25000128001,42.3505,-70.9569,1090001,Charles,150,25,1693288,FALSE,Ocean Discharge
27000001001,44.9252,-93.0444,7010206,Twin Cities,136.62,67,1676695,FALSE,Outfall To Surface Waters
17001303001,41.8838,-87.6325,7120003,Chicago,195.23505369919604,NA,1558051,TRUE,CSO Discharge
17001303001,41.8838,-87.6325,7120003,Chicago,195.23505369919604,NA,1558051,TRUE,Discharge To Another Facility
8000070001,39.8135,-104.9593,10190003,Middle South Platte-Cherry Creek,193.868077136295,NA,1547142,TRUE,Outfall To Surface Waters
4001316011,33.4469,-112.0775,15060106,Lower Salt,185.54241421647916,NA,1480700,TRUE,Discharge To Another Facility
4001316011,33.4469,-112.0775,15060106,Lower Salt,185.54241421647916,NA,1480700,TRUE,Discharge To Another Facility
4001316011,33.4469,-112.0775,15060106,Lower Salt,185.54241421647916,NA,1480700,TRUE,Discharge To Another Facility
4001316011,33.4469,-112.0775,15060106,Lower Salt,185.54241421647916,NA,1480700,TRUE,Discharge To Another Facility
6008022001,33.692,-117.939,18070203,Santa Ana,88,NA,1443610,FALSE,Ocean Discharge
6008022001,33.692,-117.939,18070203,Santa Ana,88,NA,1443610,FALSE,Reuse: Groundwater Recharge
53000776002,47.6635,-122.4273,17110019,Puget Sound,173.15103293935402,NA,1381812,TRUE,Ocean Discharge
34001082001,40.7132,-74.1301,2030103,Hackensack-Passaic,219.33,59,1366642,FALSE,Outfall To Surface Waters
6002041001,37.4341,-121.953,18050003,Coyote,133,10.3,1326938,FALSE,Outfall To Surface Waters
6002041001,37.4341,-121.953,18050003,Coyote,133,10.3,1326938,FALSE,Reuse: Irrigation
17000721007,42.0191,-87.7163,7120003,Chicago,195.2,96.8,1242722,FALSE,Outfall To Surface Waters
24000018001,39.1014,-77.125,2070010,Middle Potomac-Anacostia-Occoquan,0.001,NA,1200767,FALSE,Discharge To Another Facility
48000004001,32.7787,-96.9264,12030105,Upper Trinity,140,12,1184221,FALSE,Outfall To Surface Waters
17000721009,41.6625,-87.61,7120003,Chicago,190.58,42,1134238,FALSE,Outfall To Surface Waters
48008015001,29.2356,-98.4184,12100301,Upper San Antonio,58,NA,1133173,FALSE,Outfall To Surface Waters
12000017004,25.745,-80.1533,3090202,Everglades,140.4576250082642,NA,1120906,TRUE,Ocean Discharge
12000017004,25.745,-80.1533,3090202,Everglades,140.4576250082642,NA,1120906,TRUE,Reuse: Groundwater Recharge
12000017004,25.745,-80.1533,3090202,Everglades,140.4576250082642,NA,1120906,TRUE,Discharge To Another Facility
55003100001,43.0306,-87.9141,4040003,Milwaukee,139.5361156450252,NA,1113552,TRUE,Outfall To Surface Waters
48004122001,32.772,-97.1443,12030102,Lower West Fork Trinity,129.53,9.37,1104531,FALSE,Outfall To Surface Waters
6005530001,38.5528,-121.3369,18020005,Sacramento Headwaters,137.83795207545558,NA,1100000,TRUE,Discharge To Another Facility
6004010004,34.1801,-118.4827,18070105,Los Angeles,137.83795207545558,NA,1100000,TRUE,Outfall To Surface Waters
6004010004,34.1801,-118.4827,18070105,Los Angeles,137.83795207545558,NA,1100000,TRUE,Reuse: Irrigation
36002001011,40.7314,-73.9464,2030201,Northern Long Island,255.24,16.02,1068012,FALSE,Outfall To Surface Waters
36002001001,40.7875,-73.9229,2030201,Northern Long Island,247.25,2.75,1061558,FALSE,Outfall To Surface Waters
6005000002,38.5806,-121.4978,18020005,Sacramento Headwaters,125.30722915950508,NA,1000000,TRUE,Discharge To Another Facility
6004009003,34.0322,-118.0212,18070106,San Gabriel,79.5,4.1,1000000,FALSE,Outfall To Surface Waters
6004009003,34.0322,-118.0212,18070106,San Gabriel,79.5,4.1,1000000,FALSE,Reuse: Groundwater Recharge
6004009003,34.0322,-118.0212,18070106,San Gabriel,79.5,4.1,1000000,FALSE,Reuse: Irrigation
6004009003,34.0322,-118.0212,18070106,San Gabriel,79.5,4.1,1000000,FALSE,Reuse: Industrial
24000001001,39.2953,-76.4917,2060003,Gunpowder-Patapsco,139.073,16.41,998745,FALSE,Outfall To Surface Waters
42000094001,39.9914,-75.085,2040202,Lower Delaware,183,13.7,985611,FALSE,Outfall To Surface Waters
42000094001,39.9914,-75.085,2040202,Lower Delaware,183,13.7,985611,FALSE,CSO Discharge
42000094002,39.8861,-75.2183,2040202,Lower Delaware,188.5,10,984773,FALSE,Outfall To Surface Waters
42000094002,39.8861,-75.2183,2040202,Lower Delaware,188.5,10,984773,FALSE,CSO Discharge
48004026001,32.7471,-96.5473,12030105,Upper Trinity,100.667,23.037,980256,FALSE,Outfall To Surface Waters
32000200820,36.1,-115.0333,15010015,Las Vegas Wash,89,NA,964400,FALSE,Discharge To Another Facility
32000200820,36.1,-115.0333,15010015,Las Vegas Wash,89,NA,964400,FALSE,Outfall To Surface Waters
13000012003,33.7454,-84.573,3130003,Middle Chattahooche,29.06,3.2,957754,FALSE,Outfall To Surface Waters
6005053001,36.7061,-119.8903,18030012,Tulare-Buena Vista Lakes,65,10,940220,FALSE,Reuse: Irrigation
6005053001,36.7061,-119.8903,18030012,Tulare-Buena Vista Lakes,65,10,940220,FALSE,Evaporation
6008023005,33.6942,-117.9375,18070204,Newport Bay,114.80472905473032,NA,916186,TRUE,Discharge To Another Facility
6008023002,33.6942,-117.9375,18070204,Newport Bay,112.53616697802664,NA,898082,TRUE,Discharge To Another Facility
17001306001,41.8829,-87.6321,7120003,Chicago,112.494815592404,NA,897752,TRUE,Discharge To Another Facility
17001306001,41.8829,-87.6321,7120003,Chicago,112.494815592404,NA,897752,TRUE,CSO Discharge
32000011001,36.1372,-115.043,15010015,Las Vegas Wash,62,NA,883000,FALSE,Outfall To Surface Waters
