city_state,intake,DVSN_ID,type,contribution_to_supply
Akron | OH,Lake Rockwell,3526,surface water,1
Akron | OH,Other - Akron | OH,NA,groundwater or nonconventional water,0
Albuquerque | NM,Rio Grande - Albuquerque,4045,surface water,0.43
Albuquerque | NM,Other - Albuquerque | NM,NA,groundwater or nonconventional water,0.57
Amarillo | TX,Lake Meredith-TX,3504,surface water,0.06
Amarillo | TX,Other - Amarillo | TX,NA,groundwater or nonconventional water,0.94
Atlanta | GA,Chattahoochee River,2331,surface water,1
Atlanta | GA,Other - Atlanta | GA,NA,groundwater or nonconventional water,0
Augusta-Richmond | GA,Savannah River,3777,surface water,0.5
Augusta-Richmond | GA,Other - Augusta-Richmond | GA,NA,groundwater or nonconventional water,0.5
Aurora | CO,Strontia Springs Reservoir,2317,surface water,0.32
Aurora | CO,Aurora Reservoir,2348,surface water,0
Aurora | CO,Quincy Reservoir,2349,surface water,0
Aurora | CO,Rampart Reservoir,2352,surface water,0.31
Aurora | CO,Pueblo Reservoir,2355,surface water,0.32
Aurora | CO,Lake Meredith,2357,surface water,0
Aurora | CO,Homestake Reservoir,2358,surface water,0
Aurora | CO,Other - Aurora | CO,NA,groundwater or nonconventional water,0.05
Austin | TX,Colorado River (TX) - Albert H. Ullrich WTP,2284,surface water,1
Austin | TX,Other - Austin | TX,NA,groundwater or nonconventional water,0
Bakersfield | CA,Kern River,3432,surface water,0.4
Bakersfield | CA,Clifton Forebay,2190,surface water,0
Bakersfield | CA,Lewiston Lake,2189,surface water,0
Bakersfield | CA,Other - Bakersfield | CA,NA,groundwater or nonconventional water,0.6
Baltimore | MD,Loch Raven Reservoir,2298,surface water,0.6
Baltimore | MD,Liberty Reservoir,2299,surface water,0.4
Baltimore | MD,Conowingo Dam – Susquehanna River,2301,surface water,0
Baltimore | MD,Other - Baltimore | MD,NA,groundwater or nonconventional water,0
Baton Rouge | LA,Other - Baton Rouge | LA,NA,groundwater or nonconventional water,1
Birmingham | AL,Inland Lake,3415,surface water,0.25
Birmingham | AL,Lake Purdy,3521,surface water,0.25
Birmingham | AL,Cahaba River,3253,surface water,0.25
Birmingham | AL,Sipsey Fork,3796,surface water,0.25
Birmingham | AL,Other - Birmingham | AL,NA,groundwater or nonconventional water,0
Boise | ID,Boise River,3235,surface water,0.3
Boise | ID,Other - Boise | ID,NA,groundwater or nonconventional water,0.7
Boston | MA,Quabbin Reservoir,2302,surface water,0.34
Boston | MA,Wachusett Reservoir,2303,surface water,0.33
Boston | MA,Ware River,2304,surface water,0.33
Boston | MA,Other - Boston | MA,NA,groundwater or nonconventional water,0
Brownsville | TX,Falcon Dam,3348,surface water,1
Brownsville | TX,Other - Brownsville | TX,NA,groundwater or nonconventional water,0
Buffalo | NY,Lake Erie,3469,surface water,1
Buffalo | NY,Other - Buffalo | NY,NA,groundwater or nonconventional water,0
Cape Coral | FL,Other - Cape Coral | FL,NA,groundwater or nonconventional water,1
Charlotte | NC,Mountain Island Lake,2295,surface water,1
Charlotte | NC,Other - Charlotte | NC,NA,groundwater or nonconventional water,0
Chattanooga | TN,Tennessee River - Chattanooga,4050,surface water,1
Chattanooga | TN,Other - Chattanooga | TN,NA,groundwater or nonconventional water,0
Chicago | IL,Lake Michigan,3506,surface water,1
Chicago | IL,Other - Chicago | IL,NA,groundwater or nonconventional water,0
Cincinnati | OH,Ohio River - Cincinnati,3668,surface water,0.88
Cincinnati | OH,Other - Cincinnati | OH,NA,groundwater or nonconventional water,0.12
Clarksville | TN,Cumberland River - Clarksville,4039,surface water,1
Clarksville | TN,Other - Clarksville | TN,NA,groundwater or nonconventional water,0
Cleveland | OH,Lake Erie,3469,surface water,1
Cleveland | OH,Other - Cleveland | OH,NA,groundwater or nonconventional water,0
Colorado Springs | CO,Big Tooth Reservoir,3226,surface water,0.05
Colorado Springs | CO,Crystal Creek Reservoir-CO,3308,surface water,0.05
Colorado Springs | CO,Grizzly Reservoir,3383,surface water,0.15
Colorado Springs | CO,Homestake Reservoir,2358,surface water,0.15
Colorado Springs | CO,Lake Meredith,2357,surface water,0.05
Colorado Springs | CO,Montgomery Reservoir,3629,surface water,0.15
Colorado Springs | CO,Pikeview Reservoir,3689,surface water,0.05
Colorado Springs | CO,Pueblo Reservoir,2355,surface water,0.05
Colorado Springs | CO,Ruedi Reservoir,3744,surface water,0.15
Colorado Springs | CO,Upper Blue Reservoir,3850,surface water,0.15
Colorado Springs | CO,Other - Colorado Springs | CO,NA,groundwater or nonconventional water,0
Columbus | OH,Griggs Reservoir - dammed Scioto R.,2285,surface water,0.55
